STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/31/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/1/2018,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/2/2018,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/3/2018,67
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/4/2018,68
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/5/2018,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/6/2018,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/7/2018,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/8/2018,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/9/2018,54
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/10/2018,57
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/11/2018,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/12/2018,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/13/2018,60
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/14/2018,61
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/15/2018,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/16/2018,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/17/2018,67
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/18/2018,67
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/19/2018,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/20/2018,68
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/21/2018,69
